MJD,x_pole,y_pole,Type,UT1-UTC
41917,-0.025355,0.339798,final,0.0977447
41918,-0.023482,0.340110,final,0.0952896
41919,-0.021600,0.340434,final,0.0926851
41920,-0.019710,0.340766,final,0.0898626
41921,-0.017814,0.341104,final,0.0868080
41922,-0.015914,0.341446,final,0.0835702
41923,-0.014015,0.341789,final,0.0802474
41924,-0.012117,0.342130,final,0.0769554
41925,-0.010224,0.342470,final,0.0737935
41926,-0.008336,0.342804,final,0.0708212
41927,-0.006453,0.343133,final,0.0680534
41928,-0.004573,0.343454,final,0.0654699
41929,-0.002694,0.343767,final,0.0630280
41930,-0.000814,0.344070,final,0.0606731
41931,0.001070,0.344364,final,0.0583445
41932,0.002955,0.344650,final,0.0559804
41933,0.004842,0.344926,final,0.0535242
41934,0.006728,0.345193,final,0.0509322
41935,0.008615,0.345451,final,0.0481788
41936,0.010500,0.345697,final,0.0452619
41937,0.012384,0.345929,final,0.0422068
41938,0.014267,0.346144,final,0.0390659
41939,0.016147,0.346340,final,0.0359132
41940,0.018024,0.346513,final,0.0328289
41941,0.019897,0.346662,final,0.0298786
41942,0.021763,0.346784,final,0.0270925
41943,0.023620,0.346878,final,0.0244530
41944,0.025466,0.346942,final,0.0218975
41945,0.027299,0.346974,final,0.0193345
41946,0.029118,0.346972,final,0.0166675
41947,0.030926,0.346936,final,0.0138216
41948,0.032721,0.346866,final,0.0107642
41949,0.034502,0.346760,final,0.0075152
41950,0.036269,0.346619,final,0.0041426
41951,0.038018,0.346443,final,0.0007438
41952,0.039749,0.346233,final,-0.0025816
41953,0.041460,0.345986,final,-0.0057578
41954,0.043150,0.345701,final,-0.0087481
41955,0.044818,0.345376,final,-0.0115567
41956,0.046463,0.345011,final,-0.0142187
41957,0.048086,0.344605,final,-0.0167878
41958,0.049683,0.344159,final,-0.0193259
41959,0.051252,0.343674,final,-0.0218957
41960,0.052787,0.343149,final,-0.0245553
41961,0.054286,0.342585,final,-0.0273522
41962,0.055746,0.341981,final,-0.0303185
41963,0.057166,0.341337,final,-0.0334655
41964,0.058549,0.340655,final,-0.0367801
41965,0.059898,0.339935,final,-0.0402230
41966,0.061213,0.339182,final,-0.0437289
41967,0.062498,0.338397,final,-0.0472151
41968,0.063752,0.337584,final,-0.0506007
41969,0.064979,0.336745,final,-0.0538311
41970,0.066179,0.335880,final,-0.0568993
41971,0.067353,0.334985,final,-0.0598522
41972,0.068497,0.334059,final,-0.0627770
41973,0.069609,0.333102,final,-0.0657721
41974,0.070686,0.332113,final,-0.0689162
41975,0.071724,0.331095,final,-0.0722474
41976,0.072719,0.330047,final,-0.0757549
41977,0.073670,0.328975,final,-0.0793851
41978,0.074574,0.327881,final,-0.0830574
41979,0.075431,0.326771,final,-0.0866852
41980,0.076239,0.325651,final,-0.0901937
41981,0.077000,0.324525,final,-0.0935357
41982,0.077716,0.323399,final,-0.0966987
41983,0.078391,0.322277,final,-0.0997029
41984,0.079026,0.321165,final,-0.1025932
41985,0.079624,0.320068,final,-0.1054279
41986,0.080185,0.318986,final,-0.1082691
41987,0.080713,0.317922,final,-0.1111747
41988,0.081211,0.316875,final,-0.1141927
41989,0.081681,0.315847,final,-0.1173573
41990,0.082128,0.314836,final,-0.1206852
41991,0.082553,0.313844,final,-0.1241736
41992,0.082961,0.312870,final,-0.1277982
41993,0.083357,0.311916,final,-0.1315113
41994,0.083742,0.310982,final,-0.1352436
41995,0.084119,0.310069,final,-0.1389145
41996,0.084489,0.309175,final,-0.1424540
41997,0.084853,0.308299,final,-0.1458272
41998,0.085215,0.307441,final,-0.1490537
41999,0.085577,0.306598,final,-0.1522051
42000,0.085944,0.305768,final,-0.1553812
42001,0.086320,0.304950,final,-0.1586718
42002,0.086706,0.304142,final,-0.1621245
42003,0.087102,0.303342,final,-0.1657309
42004,0.087510,0.302550,final,-0.1694358
42005,0.087933,0.301767,final,-0.1731585
42006,0.088370,0.300992,final,-0.1768161
42007,0.088823,0.300222,final,-0.1803414
42008,0.089292,0.299459,final,-0.1836911
42009,0.089777,0.298700,final,-0.1868497
42010,0.090280,0.297944,final,-0.1898289
42011,0.090799,0.297188,final,-0.1926643
42012,0.091332,0.296431,final,-0.1954080
42013,0.091876,0.295669,final,-0.1981199
42014,0.092429,0.294902,final,-0.2008582
42015,0.092988,0.294125,final,-0.2036719
42016,0.093551,0.293336,final,-0.2065957
42017,0.094116,0.292531,final,-0.2096471
42018,0.094681,0.291709,final,-0.2128261
42019,0.095243,0.290866,final,-0.2161153
42020,0.095799,0.290000,final,-0.2194796
42021,0.096346,0.289108,final,-0.2228670
42022,0.096881,0.288188,final,-0.2262122
42023,0.097403,0.287236,final,-0.2294497
42024,0.097912,0.286251,final,-0.2325339
42025,0.098406,0.285230,final,-0.2354623
42026,0.098886,0.284172,final,-0.2382872
42027,0.099351,0.283077,final,-0.2411036
42028,0.099799,0.281943,final,-0.2440146
42029,0.100228,0.280770,final,-0.2470908
42030,0.100636,0.279556,final,-0.2503419
42031,0.101023,0.278297,final,-0.2537141
42032,0.101387,0.276995,final,-0.2571138
42033,0.101730,0.275651,final,-0.2604418
42034,0.102053,0.274266,final,-0.2636212
42035,0.102357,0.272844,final,-0.2666082
42036,0.102640,0.271387,final,-0.2693916
42037,0.102900,0.269900,final,-0.2719860
42038,0.103134,0.268387,final,-0.2744256
42039,0.103338,0.266852,final,-0.2767591
42040,0.103511,0.265300,final,-0.2790441
42041,0.103650,0.263732,final,-0.2813401
42042,0.103755,0.262151,final,-0.2836993
42043,0.103825,0.260557,final,-0.2861602
42044,0.103858,0.258951,final,-0.2887427
42045,0.103854,0.257337,final,-0.2914476
42046,0.103814,0.255713,final,-0.2942581
42047,0.103737,0.254083,final,-0.2971424
42048,0.103622,0.252448,final,0.6999438
42049,0.103468,0.250812,final,0.6970539
42050,0.103273,0.249180,final,0.6942436
42051,0.103037,0.247555,final,0.6915576
42052,0.102760,0.245938,final,0.6890115
42053,0.102443,0.244332,final,0.6865758
42054,0.102086,0.242735,final,0.6841739
42055,0.101687,0.241149,final,0.6817011
42056,0.101245,0.239574,final,0.6790627
42057,0.100759,0.238010,final,0.6762134
42058,0.100231,0.236457,final,0.6731788
42059,0.099662,0.234916,final,0.6700467
42060,0.099054,0.233389,final,0.6669336
42061,0.098408,0.231875,final,0.6639450
42062,0.097728,0.230376,final,0.6611472
42063,0.097015,0.228890,final,0.6585612
42064,0.096270,0.227417,final,0.6561715
42065,0.095496,0.225957,final,0.6539399
42066,0.094693,0.224509,final,0.6518159
42067,0.093861,0.223073,final,0.6497421
42068,0.093004,0.221652,final,0.6476585
42069,0.092126,0.220245,final,0.6455090
42070,0.091231,0.218856,final,0.6432493
42071,0.090326,0.217487,final,0.6408530
42072,0.089413,0.216142,final,0.6383150
42073,0.088494,0.214822,final,0.6356505
42074,0.087576,0.213532,final,0.6328924
42075,0.086662,0.212276,final,0.6300862
42076,0.085759,0.211055,final,0.6272847
42077,0.084872,0.209873,final,0.6245402
42078,0.084007,0.208733,final,0.6218946
42079,0.083169,0.207638,final,0.6193665
42080,0.082360,0.206591,final,0.6169393
42081,0.081583,0.205595,final,0.6145544
42082,0.080832,0.204652,final,0.6121192
42083,0.080106,0.203762,final,0.6095322
42084,0.079400,0.202927,final,0.6067194
42085,0.078712,0.202147,final,0.6036662
42086,0.078037,0.201424,final,0.6004295
42087,0.077370,0.200756,final,0.5971202
42088,0.076708,0.200141,final,0.5938641
42089,0.076046,0.199579,final,0.5907626
42090,0.075381,0.199066,final,0.5878679
42091,0.074706,0.198601,final,0.5851819
42092,0.074021,0.198181,final,0.5826700
42093,0.073322,0.197803,final,0.5802797
42094,0.072611,0.197465,final,0.5779513
42095,0.071884,0.197161,final,0.5756244
42096,0.071141,0.196890,final,0.5732413
42097,0.070383,0.196646,final,0.5707527
42098,0.069606,0.196427,final,0.5681244
42099,0.068808,0.196228,final,0.5653429
42100,0.067986,0.196045,final,0.5624169
42101,0.067137,0.195874,final,0.5593762
42102,0.066258,0.195711,final,0.5562673
42103,0.065346,0.195553,final,0.5531474
42104,0.064401,0.195400,final,0.5500745
42105,0.063418,0.195249,final,0.5470965
42106,0.062400,0.195102,final,0.5442380
42107,0.061348,0.194956,final,0.5414901
42108,0.060261,0.194813,final,0.5388066
42109,0.059142,0.194671,final,0.5361088
42110,0.057992,0.194531,final,0.5333018
42111,0.056813,0.194389,final,0.5303016
42112,0.055611,0.194244,final,0.5270642
42113,0.054389,0.194095,final,0.5236066
42114,0.053157,0.193943,final,0.5200074
42115,0.051923,0.193789,final,0.5163838
42116,0.050692,0.193634,final,0.5128546
42117,0.049468,0.193479,final,0.5095052
42118,0.048252,0.193327,final,0.5063690
42119,0.047048,0.193177,final,0.5034312
42120,0.045857,0.193032,final,0.5006447
42121,0.044682,0.192892,final,0.4979486
42122,0.043527,0.192760,final,0.4952804
42123,0.042395,0.192634,final,0.4925811
42124,0.041284,0.192518,final,0.4897991
42125,0.040195,0.192409,final,0.4868946
42126,0.039129,0.192310,final,0.4838452
42127,0.038086,0.192218,final,0.4806495
42128,0.037067,0.192132,final,0.4773279
42129,0.036077,0.192047,final,0.4739205
42130,0.035114,0.191962,final,0.4704827
42131,0.034181,0.191878,final,0.4670769
42132,0.033277,0.191794,final,0.4637605
42133,0.032405,0.191712,final,0.4605702
42134,0.031562,0.191633,final,0.4575087
42135,0.030748,0.191557,final,0.4545396
42136,0.029963,0.191485,final,0.4515928
42137,0.029207,0.191418,final,0.4485812
42138,0.028480,0.191357,final,0.4454233
42139,0.027782,0.191300,final,0.4420667
42140,0.027114,0.191250,final,0.4385054
42141,0.026473,0.191204,final,0.4347858
42142,0.025861,0.191162,final,0.4309973
42143,0.025276,0.191124,final,0.4272484
42144,0.024717,0.191088,final,0.4236357
42145,0.024184,0.191054,final,0.4202190
42146,0.023670,0.191022,final,0.4170100
42147,0.023173,0.190992,final,0.4139793
42148,0.022688,0.190965,final,0.4110721
42149,0.022209,0.190941,final,0.4082249
42150,0.021734,0.190918,final,0.4053770
42151,0.021260,0.190895,final,0.4024755
42152,0.020780,0.190872,final,0.3994786
42153,0.020290,0.190850,final,0.3963591
42154,0.019786,0.190826,final,0.3931082
42155,0.019264,0.190802,final,0.3897363
42156,0.018725,0.190776,final,0.3862732
42157,0.018166,0.190751,final,0.3827656
42158,0.017587,0.190728,final,0.3792718
42159,0.016986,0.190709,final,0.3758526
42160,0.016366,0.190696,final,0.3725566
42161,0.015729,0.190691,final,0.3694030
42162,0.015078,0.190697,final,0.3663697
42163,0.014417,0.190713,final,0.3633949
42164,0.013745,0.190740,final,0.3603935
42165,0.013063,0.190778,final,0.3572837
42166,0.012372,0.190828,final,0.3540118
42167,0.011672,0.190887,final,0.3505675
42168,0.010964,0.190954,final,0.3469865
42169,0.010250,0.191030,final,0.3433401
42170,0.009529,0.191114,final,0.3397183
42171,0.008801,0.191206,final,0.3362085
42172,0.008068,0.191307,final,0.3328749
42173,0.007333,0.191418,final,0.3297456
42174,0.006602,0.191537,final,0.3268099
42175,0.005879,0.191666,final,0.3240255
42176,0.005169,0.191802,final,0.3213335
42177,0.004475,0.191947,final,0.3186717
42178,0.003798,0.192098,final,0.3159848
42179,0.003142,0.192255,final,0.3132294
42180,0.002509,0.192417,final,0.3103768
42181,0.001899,0.192584,final,0.3074146
42182,0.001313,0.192757,final,0.3043480
42183,0.000750,0.192938,final,0.3011990
42184,0.000212,0.193126,final,0.2980043
42185,-0.000300,0.193324,final,0.2948130
42186,-0.000784,0.193532,final,0.2916807
42187,-0.001240,0.193751,final,0.2886593
42188,-0.001669,0.193980,final,0.2857812
42189,-0.002070,0.194222,final,0.2830427
42190,-0.002446,0.194478,final,0.2803960
42191,-0.002795,0.194746,final,0.2777595
42192,-0.003120,0.195029,final,0.2750436
42193,-0.003420,0.195328,final,0.2721837
42194,-0.003698,0.195645,final,0.2691634
42195,-0.003956,0.195983,final,0.2660190
42196,-0.004192,0.196346,final,0.2628251
42197,-0.004404,0.196740,final,0.2596711
42198,-0.004590,0.197167,final,0.2566387
42199,-0.004746,0.197631,final,0.2537862
42200,-0.004867,0.198136,final,0.2511410
42201,-0.004950,0.198682,final,0.2486987
42202,-0.004990,0.199271,final,0.2464268
42203,-0.004982,0.199902,final,0.2442733
42204,-0.004922,0.200577,final,0.2421779
42205,-0.004806,0.201294,final,0.2400825
42206,-0.004633,0.202054,final,0.2379399
42207,-0.004400,0.202857,final,0.2357183
42208,-0.004107,0.203702,final,0.2334032
42209,-0.003754,0.204586,final,0.2309975
42210,-0.003338,0.205506,final,0.2285200
42211,-0.002856,0.206458,final,0.2260020
42212,-0.002311,0.207437,final,0.2234839
42213,-0.001703,0.208439,final,0.2210118
42214,-0.001035,0.209456,final,0.2186316
42215,-0.000305,0.210480,final,0.2163787
42216,0.000486,0.211505,final,0.2142621
42217,0.001342,0.212525,final,0.2122513
42218,0.002262,0.213537,final,0.2102747
42219,0.003245,0.214536,final,0.2082374
42220,0.004288,0.215517,final,0.2060541
42221,0.005384,0.216474,final,0.2036846
42222,0.006529,0.217404,final,0.2011517
42223,0.007714,0.218306,final,0.1985326
42224,0.008935,0.219177,final,0.1959314
42225,0.010182,0.220016,final,0.1934446
42226,0.011448,0.220820,final,0.1911372
42227,0.012722,0.221587,final,0.1890351
42228,0.013995,0.222317,final,0.1871290
42229,0.015261,0.223007,final,0.1853854
